Fecha_Grafico,Anio,Max_Dia,Min_Dia
2000-03-22 12:25:49.525132,2023,34.2,17.7
2000-03-23 12:25:49.525132,2023,31.8,20.3
2000-03-24 12:25:49.525132,2023,31.9,21.2
2000-03-25 12:25:49.525132,2023,32.8,18.7
2000-03-26 12:25:49.525132,2023,33.3,18.3
2000-03-27 12:25:49.525132,2023,34.2,18.4
2000-03-28 12:25:49.525132,2023,33.0,19.0
2000-03-29 12:25:49.525132,2023,33.1,21.2
2000-03-30 12:25:49.525132,2023,32.4,20.0
2000-03-31 12:25:49.525132,2023,33.8,20.7
2000-04-01 12:25:49.525132,2023,33.3,20.6
2000-04-02 12:25:49.525132,2023,30.4,20.5
2000-04-03 12:25:49.525132,2023,32.9,19.6
2000-04-04 12:25:49.525132,2023,33.7,21.1
2000-04-05 12:25:49.525132,2023,34.2,18.7
2000-04-06 12:25:49.525132,2023,33.8,19.2
2000-04-07 12:25:49.525132,2023,30.6,18.9
2000-04-08 12:25:49.525132,2023,31.2,19.6
2000-04-09 12:25:49.525132,2023,32.6,17.4
2000-04-10 12:25:49.525132,2023,32.7,17.7
2000-04-11 12:25:49.525132,2023,32.1,16.9
2000-04-12 12:25:49.525132,2023,31.4,17.9
2000-04-13 12:25:49.525132,2023,32.2,17.2
2000-04-14 12:25:49.525132,2023,31.6,17.6
2000-04-15 12:25:49.525132,2023,33.6,18.9
2000-04-16 12:25:49.525132,2023,32.8,17.1
2000-04-17 12:25:49.525132,2023,31.0,17.6
2000-04-18 12:25:49.525132,2023,32.3,15.7
2000-04-19 12:25:49.525132,2023,32.4,15.4
2000-04-20 12:25:49.525132,2023,30.3,17.3
2000-04-21 12:25:49.525132,2023,31.7,18.6
2000-03-22 12:25:49.525132,2024,31.6,19.5
2000-03-23 12:25:49.525132,2024,33.6,19.5
2000-03-24 12:25:49.525132,2024,33.5,18.6
2000-03-25 12:25:49.525132,2024,31.8,20.9
2000-03-26 12:25:49.525132,2024,30.9,19.5
2000-03-27 12:25:49.525132,2024,32.3,18.8
2000-03-28 12:25:49.525132,2024,34.7,19.8
2000-03-29 12:25:49.525132,2024,33.8,18.6
2000-03-30 12:25:49.525132,2024,33.3,18.1
2000-03-31 12:25:49.525132,2024,31.5,16.9
2000-04-01 12:25:49.525132,2024,33.7,17.6
2000-04-02 12:25:49.525132,2024,30.7,19.4
2000-04-03 12:25:49.525132,2024,31.2,18.4
2000-04-04 12:25:49.525132,2024,33.1,19.6
2000-04-05 12:25:49.525132,2024,32.8,18.1
2000-04-06 12:25:49.525132,2024,31.9,19.1
2000-04-07 12:25:49.525132,2024,32.9,18.6
2000-04-08 12:25:49.525132,2024,31.2,18.9
2000-04-09 12:25:49.525132,2024,33.3,18.6
2000-04-10 12:25:49.525132,2024,33.9,18.4
2000-04-11 12:25:49.525132,2024,32.7,19.6
2000-04-12 12:25:49.525132,2024,33.1,17.2
2000-04-13 12:25:49.525132,2024,32.4,18.7
2000-04-14 12:25:49.525132,2024,30.3,18.4
2000-04-15 12:25:49.525132,2024,29.3,16.3
2000-04-16 12:25:49.525132,2024,32.1,16.2
2000-04-17 12:25:49.525132,2024,33.3,16.4
2000-04-18 12:25:49.525132,2024,29.2,16.8
2000-04-19 12:25:49.525132,2024,30.5,17.8
2000-04-20 12:25:49.525132,2024,31.1,19.4
2000-04-21 12:25:49.525132,2024,31.7,19.8
2000-03-22 12:25:49.525132,2025,33.3,18.9
2000-03-23 12:25:49.525132,2025,33.9,19.6
2000-03-24 12:25:49.525132,2025,32.2,19.7
2000-03-25 12:25:49.525132,2025,31.4,18.3
2000-03-26 12:25:49.525132,2025,31.7,21.2
2000-03-27 12:25:49.525132,2025,33.0,19.9
2000-03-28 12:25:49.525132,2025,32.2,19.8
2000-03-29 12:25:49.525132,2025,32.1,19.4
2000-03-30 12:25:49.525132,2025,31.8,19.1
2000-03-31 12:25:49.525132,2025,31.3,18.2
2000-04-01 12:25:49.525132,2025,32.7,18.6
2000-04-02 12:25:49.525132,2025,31.7,17.5
2000-04-03 12:25:49.525132,2025,33.2,17.3
2000-04-04 12:25:49.525132,2025,31.9,17.6
2000-04-05 12:25:49.525132,2025,29.9,17.8
2000-04-06 12:25:49.525132,2025,32.4,16.7
2000-04-07 12:25:49.525132,2025,33.1,16.5
2000-04-08 12:25:49.525132,2025,33.3,16.6
2000-04-09 12:25:49.525132,2025,32.7,16.7
2000-04-10 12:25:49.525132,2025,31.4,17.2
2000-04-11 12:25:49.525132,2025,30.9,16.6
2000-04-12 12:25:49.525132,2025,33.2,17.2
2000-04-13 12:25:49.525132,2025,31.8,15.6
2000-04-14 12:25:49.525132,2025,30.6,14.9
2000-04-15 12:25:49.525132,2025,30.5,14.1
2000-04-16 12:25:49.525132,2025,30.1,14.4
2000-04-17 12:25:49.525132,2025,31.3,15.6
2000-04-18 12:25:49.525132,2025,30.3,18.6
2000-04-19 12:25:49.525132,2025,31.3,17.4
2000-04-20 12:25:49.525132,2025,29.3,18.4
2000-04-21 12:25:49.525132,2025,29.4,15.2
2000-03-22 12:25:49.525132,2026,32.0,19.2
2000-03-23 12:25:49.525132,2026,32.3,18.2
2000-03-24 12:25:49.525132,2026,31.3,16.9
2000-03-25 12:25:49.525132,2026,31.4,17.1
2000-03-26 12:25:49.525132,2026,32.2,19.0
2000-03-27 12:25:49.525132,2026,34.1,20.2
2000-03-28 12:25:49.525132,2026,33.3,19.9
2000-03-29 12:25:49.525132,2026,33.3,18.4
2000-03-30 12:25:49.525132,2026,33.7,18.6
2000-03-31 12:25:49.525132,2026,33.4,19.4
2000-04-01 12:25:49.525132,2026,33.3,17.9
2000-04-02 12:25:49.525132,2026,32.7,17.7
2000-04-03 12:25:49.525132,2026,32.4,18.2
2000-04-04 12:25:49.525132,2026,33.3,18.7
2000-04-05 12:25:49.525132,2026,31.8,18.5
2000-04-06 12:25:49.525132,2026,30.8,17.7
2000-04-07 12:25:49.525132,2026,30.8,19.2
2000-04-08 12:25:49.525132,2026,31.6,18.2
2000-04-09 12:25:49.525132,2026,31.3,19.4
2000-04-10 12:25:49.525132,2026,32.3,18.3
2000-04-11 12:25:49.525132,2026,33.1,17.4
2000-04-12 12:25:49.525132,2026,32.4,18.2
2000-04-13 12:25:49.525132,2026,29.6,16.6
2000-04-14 12:25:49.525132,2026,30.4,17.7
2000-04-15 12:25:49.525132,2026,31.7,17.6
2000-04-16 12:25:49.525132,2026,30.4,18.7
2000-04-17 12:25:49.525132,2026,30.9,18.1
2000-04-18 12:25:49.525132,2026,31.1,19.9
2000-04-19 12:25:49.525132,2026,30.3,19.1
2000-04-20 12:25:49.525132,2026,32.4,17.3
